Number,Dep,Arr,DepTime,ArrTime,ACDB_List,ACDB_List2,AC_ID,Simrate,Price,FlightType,Route,Remarks,Days,limit_pax,limit_cargo,limit_flights,fleet_list,technical_stop
FERRY1,PADQ,PAKD,930,940,KODI,841,,1x,87v$,1,DIRECT,Maintenance Ferry for float planes,1234567,-1,-1,-1,89479,
FERRY2,PAKD,PADQ,930,940,KODI,841,,1x,87v$,1,DIRECT,Maintenance Ferry for float planes,1234567,-1,-1,-1,89479,
PAA0001,PADQ,PANC,930,1040,All Aircraft,-1,,1x,170v$,0,ODK J125 TED,,1234567,-1,-1,9,89479,
PAA0002,PANC,PADQ,930,1040,All Aircraft,-1,,1x,170v$,0,TED J125 ODK,,1234567,-1,-1,9,89479,
PAA0101,PADQ,PAKN,930,1040,All Aircraft,-1,,1x,150v$,0,BAILY V506 KOKOZ,,1-3-5-7,-1,-1,9,89479,
PAA0102,PAKN,PADQ,930,1040,All Aircraft,-1,,1x,150v$,0,KOKOZ V506 BAILY,,1-3-5-7,-1,-1,9,89479,
PAA0103,PADQ,PAKH,930,1040,All Aircraft,-1,,1x,99v$,0,DIRECT,,-2-4-6-,-1,-1,9,89479,
PAA0104,PAKH,PADQ,930,1040,All Aircraft,-1,,1x,99v$,0,DIRECT,,-2-4-6-,-1,-1,9,89479,
PAA0105,PADQ,PAKY,930,1040,All Aircraft,-1,,1x,98v$,,DIRECT,,1-3-5-7,-1,-1,9,89479,
PAA0106,PAKY,PADQ,930,1040,All Aircraft,-1,,1x,98v$,,DIRECT,,1-3-5-7,-1,-1,9,89479,
PAA0107,PADQ,6R7,930,1040,All Aircraft,-1,,1x,93v$,0,DIRECT,,-2-4-6-,-1,-1,9,89479,
PAA0108,6R7,PADQ,930,1040,All Aircraft,-1,,1x,93v$,0,DIRECT,,-2-4-6-,-1,-1,9,89479,
PAA0109,PADQ,PADU,930,1040,All Aircraft,-1,,1x,167v$,0,RWO G2 HBT G12 ELF G8 DUT,,-2-4-6-,-1,-1,9,89479,
PAA0110,PADU,PADQ,930,1040,All Aircraft,-1,,1x,167v$,0,DUT G8 ELF G12 HBT G2 RWO,,-2-4-6-,-1,-1,9,89479,
PAA0111,PADQ,KEB,930,1040,All Aircraft,-1,,1x,104v$,0,JIMON V439 BAREL,,1-3-5-7,-1,-1,9,89479,
PAA0112,KEB,PADQ,930,1040,All Aircraft,-1,,1x,104v$,0,BAREL V439 HJIMON,,1-3-5-7,-1,-1,9,89479,
PAA0113,PADQ,PAHO,930,1040,All Aircraft,-1,,1x,144v$,0,JIMON V439 HOM,,-2-4-6-,-1,-1,9,89479,
PAA0114,PAHO,PADQ,930,1040,All Aircraft,-1,,1x,144v$,0,HOM V439 JIMON,,-2-4-6-,-1,-1,9,89479,
PAA0115,PADQ,PAWD,930,1040,All Aircraft,-1,,1x,158v$,0,ODK T262 WUXAN ,,1-3-5-7,-1,-1,9,89479,PANC
